Amount Requested,Application Date,Loan Title,Risk_Score,Debt-To-Income Ratio,Zip Code,State,Employment Length,Policy Code
12000.0,2018-10-22,Debt consolidation,,3.5%,927xx,CA,< 1 year,0.0
20000.0,2018-03-07,Business,,2.41%,880xx,NM,< 1 year,0.0
25000.0,2013-12-14,debt consolidation and vacation,773.0,4.15%,200xx,DC,5 years,0.0
10000.0,2018-11-25,Other,,100%,932xx,CA,< 1 year,0.0
10000.0,2018-11-26,Other,,27.99%,920xx,CA,< 1 year,0.0
40000.0,2018-11-12,Home buying,,2.34%,857xx,AZ,,0.0
25000.0,2015-09-25,debt_consolidation,,82.24%,760xx,TX,< 1 year,0.0
15000.0,2018-08-24,Other,,10.12%,150xx,PA,< 1 year,0.0
40000.0,2018-04-06,Debt consolidation,,67.9%,600xx,IL,< 1 year,0.0
12000.0,2014-07-21,debt_consolidation,630.0,11.5%,752xx,TX,< 1 year,0.0
9000.0,2014-01-03,credit_card,711.0,36.52%,805xx,CO,< 1 year,0.0
25000.0,2018-11-05,Credit card refinancing,,100%,462xx,IN,< 1 year,0.0
6000.0,2018-09-02,Home buying,,0%,170xx,PA,< 1 year,0.0
25000.0,2017-08-29,Business Loan,,-1%,750xx,TX,< 1 year,0.0
4000.0,2018-08-23,Debt consolidation,,10.92%,770xx,TX,< 1 year,0.0
3950.0,2016-01-07,debt_consolidation,,17.41%,745xx,OK,5 years,0.0
4000.0,2016-02-28,debt_consolidation,,25.31%,681xx,NE,< 1 year,0.0
3000.0,2018-03-27,Business,,29.49%,276xx,NC,2 years,0.0
5000.0,2017-10-01,debt_consolidation,,9.87%,347xx,FL,< 1 year,0.0
35000.0,2013-09-12,debt_consolidation,659.0,40.91%,799xx,TX,< 1 year,0.0
20000.0,2015-07-08,credit_card,,1.97%,077xx,NJ,< 1 year,0.0
10000.0,2018-11-27,Debt consolidation,,20.82%,945xx,CA,< 1 year,0.0
10000.0,2017-05-30,debt_consolidation,,12.56%,480xx,MI,< 1 year,0.0
25000.0,2017-08-27,Home improvement,678.0,42.33%,229xx,VA,< 1 year,0.0
20000.0,2017-01-10,home_improvement,,1.7%,833xx,ID,5 years,0.0
5000.0,2018-02-12,Credit card refinancing,,89.65%,928xx,CA,< 1 year,0.0
25000.0,2012-11-15,Bakery Loan,665.0,7.92%,943xx,CA,10+ years,0.0
3100.0,2016-06-14,other,,30.27%,456xx,OH,5 years,0.0
30000.0,2015-02-03,other,624.0,9.98%,981xx,WA,< 1 year,0.0
10000.0,2015-07-07,debt_consolidation,,21.22%,380xx,TN,< 1 year,0.0
5000.0,2017-09-20,Debt consolidation,528.0,9.22%,117xx,NY,< 1 year,0.0
25000.0,2016-02-04,debt_consolidation,,-1%,767xx,TX,< 1 year,0.0
2000.0,2018-12-05,Debt consolidation,,20.68%,800xx,CO,< 1 year,0.0
1000.0,2017-12-15,Medical expenses,558.0,9.31%,752xx,TX,< 1 year,0.0
35000.0,2018-07-19,Debt consolidation,,4.32%,240xx,VA,< 1 year,0.0
25000.0,2016-08-18,debt_consolidation,,6.64%,136xx,NY,< 1 year,0.0
2000.0,2017-12-23,Other,628.0,0%,276xx,NC,< 1 year,0.0
12425.0,2018-02-08,Car financing,,100%,850xx,AZ,< 1 year,0.0
25000.0,2016-02-10,credit_card,949.0,9999%,294xx,SC,< 1 year,0.0
4000.0,2018-09-16,Other,,7.9%,799xx,TX,< 1 year,0.0
10000.0,2017-08-04,Debt consolidation,661.0,85.31%,775xx,TX,< 1 year,0.0
2500.0,2016-06-27,small_business,,38.19%,904xx,CA,< 1 year,0.0
15000.0,2016-07-29,debt_consolidation,,19.73%,334xx,FL,5 years,0.0
15000.0,2017-09-10,Credit card refinancing,595.0,19.6%,986xx,WA,< 1 year,0.0
15000.0,2018-05-17,Debt consolidation,,77.2%,172xx,PA,< 1 year,0.0
5000.0,2018-09-26,Debt consolidation,,16.13%,115xx,NY,< 1 year,0.0
5000.0,2018-10-27,Debt consolidation,,33.21%,945xx,CA,< 1 year,0.0
3500.0,2017-01-30,debt_consolidation,,63.63%,368xx,AL,< 1 year,0.0
10000.0,2016-05-24,debt_consolidation,,23.91%,044xx,ME,< 1 year,0.0
15000.0,2017-07-02,debt_consolidation,,10.41%,019xx,MA,5 years,0.0
17200.0,2017-07-22,debt_consolidation,,39.7%,688xx,NE,5 years,0.0
20000.0,2015-01-13,debt_consolidation,717.0,34.7%,956xx,CA,< 1 year,0.0
27075.0,2018-08-15,Car financing,,100%,570xx,SD,1 year,0.0
10000.0,2016-01-16,renewable_energy,,3.6%,752xx,TX,< 1 year,0.0
1100.0,2018-10-29,Other,,110.19%,770xx,TX,< 1 year,0.0
23000.0,2018-11-28,Credit card refinancing,,34.64%,065xx,CT,< 1 year,0.0
20000.0,2018-01-17,Debt consolidation,635.0,41.24%,043xx,ME,< 1 year,0.0
15000.0,2013-04-17,credit_card,692.0,40.57%,559xx,MN,< 1 year,0.0
27000.0,2016-09-19,debt_consolidation,,32.18%,451xx,OH,< 1 year,0.0
1800.0,2018-01-07,Other,622.0,18.96%,785xx,TX,< 1 year,0.0
5000.0,2016-11-16,debt_consolidation,,-1%,317xx,GA,< 1 year,0.0
6500.0,2018-09-06,Debt consolidation,,8.13%,587xx,ND,< 1 year,0.0
4000.0,2017-07-12,Moving and relocation,,26.59%,194xx,PA,,0.0
10000.0,2018-03-16,Other,,37.84%,142xx,NY,< 1 year,0.0
10000.0,2018-10-03,Debt consolidation,,3.27%,065xx,CT,< 1 year,0.0
8000.0,2017-10-22,Debt consolidation,643.0,31.11%,071xx,NJ,< 1 year,0.0
50000.0,2016-03-30,Business Loan,,-1%,328xx,FL,< 1 year,0.0
10000.0,2016-10-13,debt_consolidation,,5.11%,894xx,NV,< 1 year,0.0
9000.0,2018-11-30,Credit card refinancing,,20.35%,444xx,OH,< 1 year,0.0
6500.0,2016-11-22,Credit card refinancing,672.0,37.44%,128xx,NY,< 1 year,0.0
8000.0,2015-02-20,debt_consolidation,605.0,12.15%,235xx,VA,< 1 year,0.0
4500.0,2018-01-09,Major purchase,758.0,10.55%,951xx,CA,< 1 year,0.0
5200.0,2017-04-27,Debt consolidation,746.0,3.81%,072xx,NJ,,0.0
10000.0,2018-04-21,Debt consolidation,609.0,14.41%,554xx,MN,< 1 year,0.0
3000.0,2016-04-27,debt_consolidation,,2.11%,298xx,SC,5 years,0.0
40000.0,2016-05-12,debt_consolidation,685.0,51.26%,655xx,MO,< 1 year,0.0
1500.0,2015-04-16,debt_consolidation,,24.71%,352xx,AL,< 1 year,0.0
1000.0,2018-06-24,Debt consolidation,,16.04%,077xx,NJ,< 1 year,0.0
7000.0,2018-07-18,Debt consolidation,,47.04%,853xx,AZ,< 1 year,0.0
40000.0,2018-02-03,Business,,18.44%,330xx,FL,< 1 year,0.0
5000.0,2017-12-29,Credit card refinancing,598.0,15.9%,562xx,MN,< 1 year,0.0
2000.0,2017-05-31,Debt consolidation,593.0,43.56%,171xx,PA,< 1 year,0.0
25000.0,2017-02-13,Business,706.0,10.75%,600xx,IL,8 years,0.0
5000.0,2015-05-19,car,,6.5%,902xx,CA,< 1 year,0.0
5000.0,2017-04-19,Debt consolidation,576.0,15.96%,073xx,NJ,< 1 year,0.0
1000.0,2017-01-31,major_purchase,,0.9%,270xx,NC,< 1 year,0.0
35000.0,2016-05-11,debt_consolidation,,20.92%,148xx,NY,< 1 year,0.0
2000.0,2016-09-24,other,,49.73%,208xx,MD,5 years,0.0
20800.0,2018-12-12,Other,,33.04%,300xx,GA,< 1 year,0.0
1000.0,2013-11-07,other,,0%,917xx,CA,< 1 year,0.0
3000.0,2017-05-30,debt_consolidation,,25.58%,141xx,NY,< 1 year,0.0
10000.0,2017-01-05,Debt consolidation,,9.66%,211xx,MD,3 years,0.0
35000.0,2015-12-21,credit_card,,40.74%,390xx,MS,< 1 year,0.0
24000.0,2018-07-05,Debt consolidation,,29.96%,212xx,MD,< 1 year,0.0
35000.0,2015-10-18,major_purchase,,0.58%,235xx,VA,< 1 year,0.0
10000.0,2018-10-28,Debt consolidation,,21.04%,190xx,PA,< 1 year,0.0
30000.0,2018-10-11,Debt consolidation,,31.49%,441xx,OH,< 1 year,0.0
25500.0,2018-02-21,Debt consolidation,,22.05%,334xx,FL,< 1 year,0.0
6000.0,2015-11-23,Debt consolidation,679.0,28.98%,432xx,OH,< 1 year,0.0
2500.0,2017-08-26,vacation,,18.72%,377xx,TN,5 years,0.0
4500.0,2017-01-15,debt_consolidation,,1.3%,958xx,CA,< 1 year,0.0
14000.0,2013-11-29,Debt consolidation,682.0,6.87%,352xx,AL,10+ years,0.0
15000.0,2014-04-23,small_business,637.0,0.88%,282xx,NC,< 1 year,0.0
5000.0,2018-07-23,Home improvement,,28.55%,338xx,FL,< 1 year,0.0
3000.0,2014-07-14,moving,616.0,11.93%,853xx,AZ,< 1 year,0.0
30000.0,2014-06-12,debt_consolidation,652.0,48.4%,295xx,SC,< 1 year,0.0
2000.0,2018-07-09,Other,552.0,0%,134xx,NY,< 1 year,0.0
5000.0,2018-09-11,Other,,1%,917xx,CA,< 1 year,0.0
10000.0,2017-09-19,debt_consolidation,,21.5%,641xx,MO,< 1 year,0.0
1000.0,2018-06-26,Other,,100%,852xx,AZ,< 1 year,0.0
15000.0,2018-09-12,Debt consolidation,,100%,028xx,RI,< 1 year,0.0
2000.0,2017-05-21,Other,682.0,40.02%,342xx,FL,< 1 year,0.0
5000.0,2018-02-13,Other,,529.54%,902xx,CA,< 1 year,0.0
28000.0,2014-12-18,debt_consolidation,709.0,31.54%,221xx,VA,< 1 year,0.0
40000.0,2016-04-12,debt_consolidation,,13.38%,939xx,CA,< 1 year,0.0
1400.0,2016-06-28,debt_consolidation,,8.37%,030xx,NH,5 years,0.0
10000.0,2018-08-02,Debt consolidation,,28.34%,465xx,IN,< 1 year,0.0
10000.0,2016-08-11,house,,11.09%,484xx,MI,5 years,0.0
20000.0,2018-09-17,Home improvement,,25.37%,334xx,FL,< 1 year,0.0
20000.0,2015-01-25,credit_card,654.0,65.63%,875xx,NM,< 1 year,0.0
10000.0,2018-02-06,Debt consolidation,,6.49%,336xx,FL,< 1 year,0.0
5000.0,2015-02-25,home_improvement,,0%,900xx,CA,< 1 year,0.0
3500.0,2016-08-26,other,,2.1%,453xx,OH,< 1 year,0.0
35000.0,2018-11-10,Credit card refinancing,,18.27%,846xx,UT,< 1 year,0.0
10000.0,2016-04-30,Debt consolidation,643.0,22.98%,925xx,CA,< 1 year,0.0
1000.0,2016-02-15,other,540.0,33.76%,298xx,SC,< 1 year,0.0
5000.0,2017-10-02,Medical expenses,588.0,10.84%,782xx,TX,< 1 year,0.0
10000.0,2018-10-27,Home buying,,0.44%,301xx,GA,< 1 year,0.0
20000.0,2014-07-10,debt_consolidation,616.0,38.45%,716xx,AR,< 1 year,0.0
7500.0,2015-09-22,debt_consolidation,,-1%,310xx,GA,< 1 year,0.0
10000.0,2018-01-07,Credit card refinancing,675.0,10.56%,080xx,NJ,< 1 year,0.0
2500.0,2016-01-15,medical,,48.75%,441xx,OH,< 1 year,0.0
12000.0,2016-04-29,credit_card,,4.78%,067xx,CT,< 1 year,0.0
10000.0,2018-05-21,Credit card refinancing,,48.84%,797xx,TX,< 1 year,0.0
38000.0,2017-04-28,Credit card refinancing,662.0,19.59%,074xx,NJ,< 1 year,0.0
3000.0,2017-03-31,debt_consolidation,,9.51%,376xx,TN,,0.0
2000.0,2017-02-02,credit_card,,41.16%,015xx,MA,< 1 year,0.0
3000.0,2017-08-10,other,,24.24%,333xx,FL,< 1 year,0.0
10000.0,2017-12-06,Other,501.0,3.12%,339xx,FL,< 1 year,0.0
10000.0,2018-09-10,Major purchase,,3.08%,681xx,NE,< 1 year,0.0
20000.0,2014-03-21,debt_consolidation,697.0,34.86%,452xx,OH,< 1 year,0.0
3500.0,2016-10-13,Debt consolidation,599.0,23.42%,322xx,FL,< 1 year,0.0
10000.0,2018-11-20,Debt consolidation,,16.24%,300xx,GA,< 1 year,0.0
10000.0,2018-12-19,Other,,27.1%,197xx,DE,< 1 year,0.0
1500.0,2010-06-26,moving,0.0,7.22%,606xx,IL,< 1 year,0.0
10000.0,2015-11-24,car,,19.88%,339xx,FL,< 1 year,0.0
10000.0,2013-06-04,home_improvement,659.0,16%,714xx,LA,< 1 year,0.0
30000.0,2018-01-11,Home improvement,749.0,33.72%,906xx,CA,< 1 year,0.0
10000.0,2017-01-26,debt_consolidation,,41.44%,482xx,MI,< 1 year,0.0
3000.0,2016-07-24,moving,,15.84%,100xx,NY,5 years,0.0
1000.0,2018-02-10,Debt consolidation,,25.76%,322xx,FL,< 1 year,0.0
8000.0,2017-11-07,Credit card refinancing,769.0,39.01%,016xx,MA,10+ years,0.0
25000.0,2013-06-17,other,679.0,71.66%,800xx,CO,< 1 year,0.0
2000.0,2017-10-04,Medical expenses,666.0,38.43%,850xx,AZ,< 1 year,0.0
1000.0,2018-12-20,Other,,12.42%,360xx,AL,1 year,0.0
5000.0,2018-03-15,Home buying,,24.76%,606xx,IL,< 1 year,0.0
6000.0,2016-05-03,other,,48.92%,920xx,CA,< 1 year,0.0
10000.0,2016-09-02,home_improvement,,32.68%,780xx,TX,< 1 year,0.0
40000.0,2017-01-22,house,,28.72%,850xx,AZ,< 1 year,0.0
2000.0,2016-06-20,debt_consolidation,,3.46%,847xx,UT,< 1 year,0.0
1275.0,2016-04-02,other,,17.59%,381xx,TN,< 1 year,0.0
5000.0,2018-12-18,Debt consolidation,,46.47%,726xx,AR,< 1 year,0.0
15000.0,2018-08-09,Debt consolidation,,41.43%,770xx,TX,< 1 year,0.0
2500.0,2018-10-11,Medical expenses,,48.08%,712xx,LA,< 1 year,0.0
25000.0,2011-04-11,debt_consolidation,692.0,37.91%,801xx,CO,3 years,0.0
30000.0,2018-10-20,Credit card refinancing,,39.05%,132xx,NY,,0.0
10000.0,2016-04-13,debt_consolidation,,19.27%,381xx,TN,< 1 year,0.0
1500.0,2017-11-09,Debt consolidation,,100%,786xx,TX,< 1 year,0.0
1000.0,2018-02-11,Other,,15.12%,214xx,MD,< 1 year,0.0
15000.0,2015-10-07,debt_consolidation,,21.89%,750xx,TX,< 1 year,0.0
2000.0,2018-05-25,Car financing,,0%,900xx,CA,< 1 year,0.0
8500.0,2014-01-28,debt_consolidation,676.0,13.14%,891xx,NV,< 1 year,0.0
10000.0,2017-07-08,Debt consolidation,731.0,31.9%,209xx,MD,2 years,0.0
5500.0,2018-12-03,Other,,25.66%,956xx,CA,,0.0
2000.0,2016-08-29,credit_card,,6.89%,347xx,FL,5 years,0.0
4000.0,2018-10-19,Other,,0.22%,850xx,AZ,< 1 year,0.0
20000.0,2018-07-28,Other,,5.48%,075xx,NJ,,0.0
10000.0,2011-09-21,car,691.0,0.59%,481xx,MI,1 year,0.0
20000.0,2017-11-09,Credit card refinancing,658.0,18.46%,075xx,NJ,< 1 year,0.0
19000.0,2016-10-12,Credit card refinancing,693.0,47.64%,080xx,NJ,< 1 year,0.0
28000.0,2017-12-20,Debt consolidation,705.0,35.57%,381xx,TN,< 1 year,0.0
2000.0,2016-05-02,debt_consolidation,,39.44%,532xx,WI,< 1 year,0.0
20000.0,2015-12-07,credit_card,658.0,44.66%,113xx,NY,< 1 year,0.0
15000.0,2015-06-30,debt_consolidation,,12.38%,891xx,NV,< 1 year,0.0
40000.0,2017-11-04,Debt consolidation,632.0,40%,970xx,OR,< 1 year,0.0
19425.0,2018-06-11,Car financing,,100%,378xx,TN,5 years,2.0
30000.0,2016-07-08,debt_consolidation,,9.53%,209xx,MD,< 1 year,0.0
15000.0,2018-09-10,Debt consolidation,,68.91%,785xx,TX,< 1 year,0.0
5000.0,2015-10-21,other,,16.22%,906xx,CA,< 1 year,0.0
25000.0,2018-09-25,Debt consolidation,,100%,110xx,NY,< 1 year,0.0
1000.0,2018-04-13,Other,,100%,800xx,CO,< 1 year,0.0
2000.0,2017-09-28,Vacation,644.0,83.04%,788xx,TX,< 1 year,0.0
10000.0,2015-06-30,debt_consolidation,,18.73%,928xx,CA,< 1 year,0.0
4000.0,2017-12-28,Debt consolidation,635.0,7.19%,727xx,AR,< 1 year,0.0
5000.0,2016-06-14,moving,,55.07%,751xx,TX,< 1 year,0.0
3500.0,2018-11-09,Other,,1.3%,440xx,OH,< 1 year,0.0
2000.0,2017-10-27,Home improvement,651.0,96.26%,382xx,TN,< 1 year,0.0
15000.0,2017-05-18,Debt consolidation,610.0,35.07%,585xx,ND,< 1 year,0.0
15000.0,2016-04-06,credit_card,,-1%,365xx,AL,< 1 year,0.0
1500.0,2013-08-14,home_improvement,0.0,0%,286xx,NC,< 1 year,0.0
10000.0,2015-07-29,Credit card refinancing,,17.83%,945xx,CA,6 years,0.0
3500.0,2013-08-15,other,684.0,22.34%,770xx,TX,5 years,0.0
7000.0,2015-02-03,Credit card refinancing,734.0,10.26%,600xx,IL,< 1 year,2.0
10000.0,2018-03-01,Other,,9.11%,775xx,TX,< 1 year,0.0
2000.0,2016-12-30,credit_card,,36.37%,238xx,VA,< 1 year,0.0
10000.0,2017-12-07,Debt consolidation,665.0,15.78%,440xx,OH,< 1 year,0.0
15000.0,2018-03-08,Home buying,,24.49%,468xx,IN,< 1 year,0.0
8500.0,2017-05-04,credit_card,,-1%,064xx,CT,5 years,0.0
16000.0,2018-07-11,Major purchase,,24.65%,778xx,TX,< 1 year,0.0
4500.0,2016-08-24,house,628.0,21.17%,718xx,AR,< 1 year,0.0
10000.0,2017-12-09,Business Loan,,-1%,254xx,WV,< 1 year,0.0
25000.0,2016-08-18,debt_consolidation,,39.01%,361xx,AL,< 1 year,0.0
40000.0,2017-10-16,Debt consolidation,644.0,51.58%,799xx,TX,< 1 year,0.0
9000.0,2018-01-18,Debt consolidation,573.0,30.2%,335xx,FL,,0.0
15000.0,2012-11-17,debt_consolidation,683.0,20.84%,988xx,WA,< 1 year,0.0
1000.0,2016-01-11,other,,4.53%,919xx,CA,5 years,0.0
1500.0,2016-10-11,vacation,,39.61%,191xx,PA,< 1 year,0.0
25000.0,2018-09-06,Credit card refinancing,,81.28%,359xx,AL,< 1 year,0.0
4000.0,2013-07-15,car,603.0,24.45%,070xx,NJ,< 1 year,0.0
40000.0,2017-03-24,Debt consolidation,627.0,57.6%,275xx,NC,< 1 year,0.0
35000.0,2015-07-31,home_improvement,,-1%,055xx,NY,< 1 year,0.0
35000.0,2018-08-10,Other,,8.17%,464xx,IN,< 1 year,0.0
18000.0,2016-10-07,debt_consolidation,,48.2%,330xx,FL,5 years,0.0
10000.0,2018-03-09,Credit card refinancing,,20.49%,948xx,CA,< 1 year,0.0
8000.0,2018-07-18,Debt consolidation,,14.48%,711xx,LA,< 1 year,0.0
10000.0,2018-06-28,Credit card refinancing,,40.18%,562xx,MN,< 1 year,0.0
8000.0,2015-07-22,other,,42.7%,330xx,FL,< 1 year,0.0
3000.0,2018-07-20,Debt consolidation,,23.28%,300xx,GA,< 1 year,0.0
7000.0,2018-04-17,Credit card refinancing,,6.46%,112xx,NY,< 1 year,0.0
7000.0,2016-06-08,debt_consolidation,,37.25%,120xx,NY,< 1 year,0.0
20000.0,2018-08-16,Debt consolidation,,44.14%,787xx,TX,< 1 year,0.0
34000.0,2018-02-20,Debt consolidation,,202.8%,168xx,PA,< 1 year,0.0
15000.0,2013-03-22,renewable_energy,605.0,6.92%,109xx,NY,< 1 year,0.0
2000.0,2018-06-21,Debt consolidation,,11.31%,532xx,WI,< 1 year,0.0
30000.0,2014-08-14,debt_consolidation,701.0,52.11%,786xx,TX,< 1 year,0.0
26000.0,2018-05-01,Credit card refinancing,,19.98%,210xx,MD,< 1 year,0.0
30000.0,2014-12-03,home_improvement,614.0,11.05%,104xx,NY,< 1 year,0.0
35000.0,2014-05-14,Debt consolidation,781.0,18.36%,331xx,FL,10+ years,0.0
25000.0,2017-01-21,Debt consolidation,614.0,25.01%,925xx,CA,< 1 year,0.0
40000.0,2018-11-27,Other,,14.66%,724xx,AR,< 1 year,0.0
40000.0,2016-11-12,Home buying,,-1%,764xx,TX,< 1 year,0.0
5000.0,2018-06-10,Home buying,,0%,775xx,TX,< 1 year,0.0
20000.0,2016-02-18,debt_consolidation,665.0,17.51%,286xx,NC,< 1 year,0.0
40000.0,2016-10-15,Car financing,,100%,123xx,NY,< 1 year,0.0
4000.0,2017-11-01,Major purchase,501.0,12.78%,563xx,MN,< 1 year,0.0
6000.0,2018-05-13,Home buying,,48.87%,775xx,TX,< 1 year,0.0
8000.0,2017-06-29,major_purchase,,0%,606xx,IL,2 years,0.0
35000.0,2012-06-13,small_business,518.0,342.37%,333xx,FL,< 1 year,0.0
15000.0,2016-06-30,debt_consolidation,,-1%,145xx,NY,< 1 year,0.0
30000.0,2017-07-06,debt_consolidation,,25.54%,206xx,MD,< 1 year,0.0
2000.0,2017-01-07,moving,,0%,750xx,TX,5 years,0.0
1500.0,2017-03-17,debt_consolidation,,1.8%,640xx,MO,< 1 year,0.0
9000.0,2018-12-06,Credit card refinancing,,25.69%,238xx,VA,,0.0
1500.0,2017-07-27,credit_card,,2.5%,532xx,WI,5 years,0.0
10000.0,2018-01-29,Medical expenses,,22.97%,336xx,FL,< 1 year,0.0
17500.0,2015-10-06,debt_consolidation,,31.95%,902xx,CA,< 1 year,0.0
10000.0,2018-10-21,Debt consolidation,,27.17%,471xx,IN,< 1 year,0.0
10000.0,2018-03-26,Debt consolidation,,17.62%,483xx,MI,< 1 year,0.0
15000.0,2017-08-14,Debt consolidation,569.0,17.39%,066xx,CT,< 1 year,0.0
20000.0,2017-01-09,Debt consolidation,626.0,30.62%,142xx,NY,< 1 year,0.0
20000.0,2016-04-26,debt_consolidation,,21.03%,775xx,TX,< 1 year,0.0
7000.0,2016-04-27,debt_consolidation,546.0,0%,755xx,TX,< 1 year,0.0
25000.0,2014-07-21,debt_consolidation,,-1%,430xx,OH,< 1 year,0.0
100000.0,2015-08-14,Business Loan,,-1%,285xx,NC,< 1 year,2.0
6600.0,2016-04-04,credit_card,693.0,27.97%,852xx,AZ,< 1 year,0.0
1000.0,2018-12-24,Other,,27.3%,760xx,TX,1 year,0.0
1000.0,2017-11-22,Car financing,585.0,9999%,354xx,AL,< 1 year,0.0
20000.0,2016-02-19,debt_consolidation,,9.42%,917xx,CA,5 years,0.0
25000.0,2018-11-16,Home buying,,7.37%,310xx,GA,< 1 year,0.0
2000.0,2017-02-25,vacation,,0%,416xx,KY,5 years,0.0
10000.0,2018-07-13,Other,,24.54%,175xx,PA,< 1 year,0.0
10000.0,2017-11-08,Debt consolidation,665.0,20.2%,984xx,WA,< 1 year,0.0
25000.0,2009-01-29,Lower Interest,,-1%,300xx,GA,9 years,0.0
20000.0,2018-07-23,Home buying,,13.11%,303xx,GA,< 1 year,0.0
10000.0,2016-02-25,debt_consolidation,,63%,917xx,CA,< 1 year,0.0
1200.0,2018-01-22,Medical expenses,,12.06%,395xx,MS,< 1 year,0.0
4000.0,2017-07-18,debt_consolidation,,13.96%,197xx,DE,< 1 year,0.0
10000.0,2018-01-17,Business,707.0,1.3%,800xx,CO,< 1 year,0.0
10000.0,2018-12-22,Credit card refinancing,,65.64%,300xx,GA,< 1 year,0.0
35000.0,2016-09-10,Debt consolidation,650.0,52.6%,782xx,TX,< 1 year,0.0
1000.0,2018-05-27,Debt consolidation,,4.66%,028xx,RI,< 1 year,0.0
1500.0,2016-11-07,Debt consolidation,568.0,38.48%,467xx,IN,< 1 year,0.0
1000.0,2018-11-12,Debt consolidation,,16.17%,232xx,VA,< 1 year,0.0
10000.0,2014-05-18,debt_consolidation,551.0,0.45%,926xx,CA,< 1 year,0.0
15000.0,2018-12-11,Debt consolidation,,4.25%,786xx,TX,10+ years,2.0
5000.0,2018-07-24,Other,,25.56%,349xx,FL,< 1 year,0.0
10000.0,2018-08-01,Major purchase,,5.74%,990xx,WA,< 1 year,0.0
35000.0,2018-11-30,Debt consolidation,,16.55%,075xx,NJ,< 1 year,0.0
2000.0,2017-12-29,Other,612.0,50.13%,840xx,UT,< 1 year,0.0
6000.0,2016-08-17,debt_consolidation,,70.68%,612xx,IL,< 1 year,0.0
3000.0,2016-08-16,other,,22.96%,295xx,SC,< 1 year,0.0
3000.0,2016-11-14,Credit card refinancing,663.0,17.53%,331xx,FL,< 1 year,0.0
20000.0,2018-07-17,Major purchase,,14.77%,989xx,WA,< 1 year,0.0
7000.0,2018-10-31,Car financing,,6.19%,670xx,KS,< 1 year,0.0
6500.0,2018-10-28,Credit card refinancing,,41.16%,833xx,ID,< 1 year,0.0
5000.0,2017-05-23,debt_consolidation,,27.48%,334xx,FL,< 1 year,0.0
2500.0,2017-07-13,medical,,2.21%,984xx,WA,5 years,0.0
6000.0,2018-09-13,Home buying,,1.49%,937xx,CA,< 1 year,0.0
5000.0,2016-12-30,Debt consolidation,577.0,26.88%,329xx,FL,< 1 year,0.0
28775.0,2018-08-03,Car financing,,100%,750xx,TX,< 1 year,0.0
5000.0,2016-09-13,credit_card,,22.95%,481xx,MI,< 1 year,0.0
17500.0,2015-06-06,debt_consolidation,,17.12%,917xx,CA,< 1 year,0.0
15000.0,2016-02-08,debt_consolidation,,0%,721xx,AR,< 1 year,0.0
2000.0,2017-01-30,debt_consolidation,,18.11%,297xx,SC,< 1 year,0.0
20000.0,2015-05-05,debt_consolidation,,35.74%,968xx,HI,< 1 year,0.0
1200.0,2015-01-16,major_purchase,709.0,2%,908xx,CA,< 1 year,0.0
5000.0,2018-11-25,Debt consolidation,,19.78%,038xx,NH,< 1 year,0.0
15000.0,2018-10-08,Home improvement,,16.61%,210xx,MD,< 1 year,0.0
10000.0,2017-07-21,credit_card,,11.03%,113xx,NY,5 years,0.0
20000.0,2017-05-03,debt_consolidation,,26.99%,993xx,WA,< 1 year,0.0
3000.0,2016-03-01,credit_card,,26.97%,301xx,GA,< 1 year,0.0
5000.0,2016-02-10,debt_consolidation,,23.65%,604xx,IL,5 years,0.0
23000.0,2018-07-12,Other,,6.9%,727xx,AR,< 1 year,0.0
30000.0,2017-03-26,small_business,,17.38%,321xx,FL,< 1 year,0.0
10000.0,2017-02-09,debt_consolidation,,4.61%,336xx,FL,< 1 year,0.0
15000.0,2016-04-18,debt_consolidation,669.0,39.45%,770xx,TX,< 1 year,0.0
14500.0,2018-06-05,Major purchase,,11.35%,227xx,VA,< 1 year,0.0
1000.0,2018-11-06,Major purchase,,11.23%,458xx,OH,< 1 year,0.0
15000.0,2017-02-15,Other,698.0,24.73%,922xx,CA,< 1 year,0.0
30000.0,2017-08-22,debt_consolidation,,49.02%,337xx,FL,< 1 year,0.0
1000.0,2015-06-25,other,,10.13%,605xx,IL,< 1 year,0.0
20000.0,2017-05-30,small_business,,-1%,900xx,CA,< 1 year,0.0
2500.0,2018-05-02,Other,548.0,0.8%,359xx,AL,< 1 year,0.0
3000.0,2017-10-27,Business,589.0,1%,474xx,IN,< 1 year,0.0
35000.0,2018-09-17,Debt consolidation,,100%,928xx,CA,< 1 year,0.0
35000.0,2014-04-04,debt_consolidation,755.0,23.91%,465xx,IN,< 1 year,0.0
5000.0,2018-12-28,Debt consolidation,,15.96%,140xx,NY,< 1 year,0.0
20000.0,2017-12-28,Home buying,742.0,91.01%,334xx,FL,< 1 year,0.0
1000.0,2014-06-12,debt_consolidation,606.0,24.13%,149xx,NY,< 1 year,0.0
10000.0,2011-07-21,Home Improvement,696.0,29.78%,490xx,MI,7 years,0.0
1500.0,2011-10-10,medical,0.0,0%,773xx,TX,< 1 year,0.0
2825.0,2016-05-26,debt_consolidation,,16.63%,841xx,UT,< 1 year,0.0
10000.0,2014-10-05,credit_card,748.0,33.52%,554xx,MN,< 1 year,0.0
35000.0,2015-02-17,Business Loan,,-1%,970xx,OR,< 1 year,0.0
